scientific_name,longitude,latitude,year
Bassaricyon neblina,-78.983,-0.583,2006
Bassaricyon neblina,-79,-0.417,2006
Bassaricyon neblina,-78.684,-0.021,2005
Bassaricyon neblina,-78.737182,-0.014437,2013
Bassaricyon neblina,-78.688323,-0.00022,2013
Bassaricyon neblina,-78.712,0.0226,2010
Bassaricyon neblina,-78.421805,0.37169,2008
Bassaricyon neblina,-76.44133,4.048767,2009
Bassaricyon neblina,-76.109479,5.247675,2016
Bassaricyon neblina,-75.69908,5.575333,2013
Bassaricyon neblina,-75.889111,5.995756,2013
Bassaricyon neblina,-75.649133,6.044372,2015
Bassaricyon neblina,-75.545619,6.105303,2015
Bassaricyon neblina,-75.484472,6.115958,2015
Bassaricyon neblina,-75.551761,6.141703,2015
Bassaricyon neblina,-75.557056,6.151083,2015
Bassaricyon neblina,-75.283333,6.75,2015
Bassaricyon neblina,-75.495311,6.174401,2015
