"occID","scientific_name","longitude","latitude","country","state_province","locality","year","record_type","catalog_number","institution_code","elevation","uncertainty"
1,"Alouatta palliata (Gray, 1849)",-83.91178,10.23499,"Costa Rica","Heredia",NA,2021,"HUMAN_OBSERVATION","67596477","iNaturalist",NA,65
2,"Alouatta palliata (Gray, 1849)",-85.68018,10.62114,"Costa Rica","Guanacaste",NA,2021,"HUMAN_OBSERVATION","67452587","iNaturalist",NA,14
3,"Alouatta palliata (Gray, 1849)",-83.28332,8.44175,"Costa Rica","Puntarenas",NA,2021,"HUMAN_OBSERVATION","67603094","iNaturalist",NA,NA
4,"Alouatta palliata (Gray, 1849)",-84.00697,10.43062,"Costa Rica","Heredia",NA,2021,"HUMAN_OBSERVATION","67735381","iNaturalist",NA,210
5,"Alouatta palliata (Gray, 1849)",-83.73746,9.15114,"Costa Rica","Puntarenas",NA,2021,"HUMAN_OBSERVATION","68225156","iNaturalist",NA,7
6,"Alouatta palliata (Gray, 1849)",-83.35899,8.57506,"Costa Rica","Puntarenas",NA,2021,"HUMAN_OBSERVATION","67942521","iNaturalist",NA,NA
7,"Alouatta palliata (Gray, 1849)",-84.00512,10.43398,"Costa Rica","Heredia",NA,2021,"HUMAN_OBSERVATION","68707116","iNaturalist",NA,751
8,"Alouatta palliata (Gray, 1849)",-85.71823,10.29222,"Costa Rica","Guanacaste",NA,2021,"HUMAN_OBSERVATION","68491999","iNaturalist",NA,NA
9,"Alouatta palliata (Gray, 1849)",-85.82676,10.34627,"Costa Rica","Guanacaste",NA,2021,"HUMAN_OBSERVATION","68394394","iNaturalist",NA,NA
10,"Alouatta palliata (Gray, 1849)",-84.30478,10.01878,"Costa Rica","Alajuela",NA,2021,"HUMAN_OBSERVATION","68641623","iNaturalist",NA,11
11,"Alouatta palliata (Gray, 1849)",-83.28137,8.39821,"Costa Rica","Puntarenas",NA,2021,"HUMAN_OBSERVATION","67829668","iNaturalist",NA,877
12,"Alouatta palliata (Gray, 1849)",-85.83629,10.30708,"Costa Rica","Guanacaste",NA,2021,"HUMAN_OBSERVATION","68426900","iNaturalist",NA,137
13,"Alouatta palliata (Gray, 1849)",-85.47644,10.62016,"Costa Rica","Guanacaste",NA,2021,"HUMAN_OBSERVATION","68298801","iNaturalist",NA,2
14,"Alouatta palliata (Gray, 1849)",-84.48277,10.08565,"Costa Rica","Alajuela",NA,2021,"HUMAN_OBSERVATION","68166555","iNaturalist",NA,100
